year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2012,Toyota,Camry,Hybrid H,Sedan,169036,Automatic,2026-04-05,14990,Hybrid,VIC,car/14810823/toyota/camry/vic/coburg-north/sedan,2026-01-25T15:12:25,,
1999,Toyota,Camry,Csi,Sedan,180626,Automatic,2026-03-27,3999,Unleaded,VIC,car/14887683/toyota/camry/vic/maidstone/sedan,2026-01-25T15:12:25,,
2017,Toyota,Kluger,Gx (4X2),Wagon,195030,Automatic,2026-04-18,22990,Unleaded,VIC,car/14903080/toyota/kluger/vic/west-footscray/suv,2026-01-25T15:12:25,,
2024,Toyota,Kluger,Gx 2Wd,Wagon,20182,Automatic,2026-09-26,48888,Unleaded,VIC,car/14867243/toyota/kluger/vic/keysborough/suv,2026-01-25T15:12:25,,
2005,Toyota,Corolla,Conquest Seca,Hatchback,284330,Automatic,2026-10-12,3999,Unleaded,VIC,car/14889753/toyota/corolla/vic/west-footscray/hatchback,2026-01-25T15:12:25,,
2020,Toyota,Camry,Ascent Sport,Sedan,156022,Automatic,2026-03-20,21990,Unleaded,VIC,car/14882828/toyota/camry/vic/west-footscray/sedan,2026-01-25T15:12:25,,
2016,Toyota,Hilux,Sr (4X4),Dual Cab Chassis,117584,Automatic,2026-01-31,42990,Diesel,VIC,car/14778433/toyota/hilux/vic/tullamarine/dual-cab,2026-01-25T15:12:25,,
2014,Toyota,RAV4,Gx (2Wd),Wagon,271343,Automatic,,13999,Unleaded,VIC,car/14765937/toyota/rav4/vic/west-footscray/suv,2026-01-25T15:12:25,,
2015,Toyota,Yaris,Ascent,Hatchback,168227,Manual,2025-12-30,9990,Unleaded,VIC,car/14819458/toyota/yaris/vic/preston/hatchback,2026-01-25T15:12:25,,
2020,Toyota,Corolla,ZWE211,SUV,79848,Automatic,,23990,Unleaded,VIC,car/14886209/toyota/corolla/vic/clayton-south/suv,2026-01-25T15:12:25,,
2005,Toyota,RAV4,Cruiser (4X4),Wagon,349308,Manual,2026-09-01,6999,Unleaded,VIC,car/14887772/toyota/rav4/vic/braybrook/suv,2026-01-25T15:12:25,,
2011,Toyota,Tarago,Gli,Wagon,269988,Automatic,2026-04-01,7990,Unleaded,VIC,car/14857694/toyota/tarago/vic/coburg-north/people-mover,2026-01-25T15:12:25,,
2011,Toyota,Camry,Touring Se,Sedan,181080,Automatic,2026-03-28,12990,Unleaded,VIC,car/14911829/toyota/camry/vic/ringwood/sedan,2026-01-25T15:12:25,,
2021,Toyota,Alphard,(HYBRID)--S,SUV,83662,Automatic,,46000,Hybrid,VIC,car/14867355/toyota/alphard/vic/st-kilda/suv,2026-01-25T15:12:25,,
2013,Toyota,Estima,AERAS,OtherCar,77200,Automatic,2025-11-06,16499,Unleaded,VIC,car/14895465/toyota/estima/vic/st-kilda/othercar,2026-01-25T15:12:25,,
2014,Toyota,RAV4,Gx (2Wd),Wagon,143249,Automatic,2026-02-28,19990,Unleaded,VIC,car/14858354/toyota/rav4/vic/ringwood/suv,2026-01-25T15:12:25,,
2010,Toyota,Aurion,Sportivo Zr6,Sedan,149000,Automatic,,9499,Unleaded,VIC,car/14902979/toyota/aurion/vic/northcote/sedan,2026-01-25T15:12:25,,
2010,Toyota,Corolla,Ascent,Sedan,122000,Automatic,,10499,Unleaded,VIC,car/14905513/toyota/corolla/vic/northcote/sedan,2026-01-25T15:12:25,,
2014,Toyota,RAV4,Gxl (4X4),Wagon,284851,Automatic,2025-11-30,12990,Diesel,VIC,car/14821148/toyota/rav4/vic/mordialloc/suv,2026-01-25T15:12:25,,
2008,Toyota,Hilux,Sr5 (4X4),X Cab Pickup,249000,Manual,,15999,Diesel,VIC,car/14915704/toyota/hilux/vic/northcote/extra-cab,2026-01-25T15:12:25,,
2013,Toyota,86,Gt,Coupe,136100,Manual,2025-12-13,19990,Premium,VIC,car/14815457/toyota/86/vic/maidstone/coupe,2026-01-25T15:12:25,,
2000,Toyota,Landcruiser Prado,Gxl (4X4),Wagon,462600,Manual,2026-01-18,9999,Unleaded,VIC,car/14808321/toyota/landcruiser-prado/vic/maidstone/suv,2026-01-25T15:12:25,,
2014,Toyota,Hilux,Workmate,Cab Chassis,314324,Manual,2026-10-20,9988,Unleaded,VIC,car/14773928/toyota/hilux/vic/alphington/single-cab,2026-01-25T15:12:25,,
1998,Toyota,Landcruiser,Gxl (4X4),Wagon,560261,Manual,2026-01-15,9888,Diesel,VIC,car/14894547/toyota/landcruiser/vic/alphington/suv,2026-01-25T15:12:25,,
2016,Toyota,Landcruiser,Sahara (4X4),Wagon,235885,Automatic,,70977,Unleaded,VIC,car/14810075/toyota/landcruiser/vic/elsternwick/suv,2026-01-25T15:12:25,,
2013,Toyota,Yaris,Yr,Hatchback,134744,Manual,2026-07-14,8990,Unleaded,VIC,car/14908256/toyota/yaris/vic/williamstown-north/hatchback,2026-01-25T15:12:25,,
2016,Toyota,Landcruiser,Gx (4X4),Wagon,145167,Automatic,2026-01-03,42990,Diesel,VIC,car/14801896/toyota/landcruiser/vic/west-footscray/suv,2026-01-25T15:12:25,,
2012,Toyota,Kluger,Kx-R (Fwd) 7 Seat,Wagon,267941,Automatic,2026-01-30,13488,Unleaded,VIC,car/14817314/toyota/kluger/vic/braybrook/suv,2026-01-25T15:12:25,,
2007,Toyota,Corolla,Ascent,Sedan,199897,Automatic,2025-12-19,7688,Unleaded,VIC,car/14811005/toyota/corolla/vic/braybrook/sedan,2026-01-25T15:12:25,,
2020,Toyota,Corolla,,SUV,117171,Automatic,2026-03-10,24999,Other,VIC,car/14856277/toyota/corolla/vic/ringwood/suv,2026-01-25T15:12:25,,
