url,state,current_price,final_sale_price,final_sale_date,sale_price_source,bid_count,time_remaining,last_seen_at,terminal_reason,state_updated_at,fetch_fail_count,last_fetch_error,last_evidence,run_id
https://www.grays.com/lot/0001-10352882/motor-vehicles-motor-cycles/2014-porsche-macan-s-diesel-95b-turbo-diesel-automatic-wagon,referred,7300.0,,,,140.0,8h 45m37s,2026-03-12T14:30:35.690245,referred,2026-03-12T14:30:35.690245,0,,referred_or_cancelled_indicator,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352883/motor-vehicles-motor-cycles/2016-lexus-rx-350-rx350-f-sport-ggl25r-automatic-8-speed-wagon,sold,15900.0,,,,209.0,10 March 2026 20:15 AEDT,2026-03-12T14:30:48.881204,sold_with_final_price,2026-03-12T14:30:48.881204,0,,date_sold_and_bids,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352884/motor-vehicles-motor-cycles/2012-kia-grand-carnival-s-vq-automatic-8-seats-people-mover,sold,4100.0,,,,42.0,10 March 2026 20:15 AEDT,2026-03-12T14:31:01.103835,sold_with_final_price,2026-03-12T14:31:01.103835,0,,date_sold_and_bids,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352886/motor-vehicles-motor-cycles/2015-jaguar-xe-v6-s-automatic-8-speed-sedan,referred,5100.0,,,,75.0,8h 44m41s,2026-03-12T14:31:19.864068,referred,2026-03-12T14:31:19.864068,0,,referred_or_cancelled_indicator,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352887/motor-vehicles-motor-cycles/2011-audi-a5-3-0-tdi-quattro-8t-turbo-diesel-automatic-hatchback,referred,3200.0,,,,11.0,8h 44m30s,2026-03-12T14:31:28.763413,referred,2026-03-12T14:31:28.763413,0,,referred_or_cancelled_indicator,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352888/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,sold,3800.0,,,,50.0,10 March 2026 20:15 AEDT,2026-03-12T14:31:38.039785,sold_with_final_price,2026-03-12T14:31:38.039785,0,,date_sold_and_bids,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352889/motor-vehicles-motor-cycles/2010-holden-ute-sv6-ve-manual-ute,referred,3100.0,,,,9.0,8h 43m59s,2026-03-12T14:31:48.150651,referred,2026-03-12T14:31:48.150651,0,,referred_or_cancelled_indicator,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352890/motor-vehicles-motor-cycles/2013-jeep-grand-cherokee-laredo-4x4-wk-automatic-8-speed-wagon,referred,1392.0,,,,36.0,5h 28m49s,2026-03-12T14:31:58.278493,referred,2026-03-12T14:31:58.278493,0,,referred_or_cancelled_indicator,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352898/motor-vehicles-motor-cycles/2015-subaru-forester-2-0d-l-s4-turbo-diesel-cvt-wagon,referred,5500.0,,,,30.0,1d 8h 28m37s,2026-03-12T14:32:07.957011,referred,2026-03-12T14:32:07.957011,0,,referred_or_cancelled_indicator,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352907/motor-vehicles-motor-cycles/2013-jeep-grand-cherokee-limited-wk-turbo-diesel-automatic-8-speed-wagon,sold,5509.0,,,,102.0,10 March 2026 20:15 AEDT,2026-03-12T14:32:17.574785,sold_with_final_price,2026-03-12T14:32:17.574785,0,,date_sold_and_bids,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352908/motor-vehicles-motor-cycles/2012-nissan-navara-4x4-st-d40-turbo-diesel-manual-dual-cab,sold,6259.0,,,,85.0,10 March 2026 20:15 AEDT,2026-03-12T14:32:32.432670,sold_with_final_price,2026-03-12T14:32:32.432670,0,,date_sold_and_bids,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352912/motor-vehicles-motor-cycles/2021-mazda-cx-5-gt-kf-automatic-wagon,referred,17001.0,,,,66.0,1d 8h 27m56s,2026-03-12T14:32:59.145458,referred,2026-03-12T14:32:59.145458,0,,referred_or_cancelled_indicator,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352915/motor-vehicles-motor-cycles/2021-mitsubishi-outlander-es-2wd-zm-cvt-wagon,referred,15800.0,,,,127.0,1d 8h 27m26s,2026-03-12T14:33:19.753323,referred,2026-03-12T14:33:19.753323,0,,referred_or_cancelled_indicator,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352921/motor-vehicles-motor-cycles/2015-hyundai-i30-active-tourer-gd-automatic-wagon,referred,909.0,,,,17.0,8h 42m9s,2026-03-12T14:33:30.398368,referred,2026-03-12T14:33:30.398368,0,,referred_or_cancelled_indicator,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352923/motor-vehicles-motor-cycles/2017-toyota-c-hr-fwd-ngx10r-cvt-wagon,referred,5000.0,,,,79.0,8h 41m55s,2026-03-12T14:33:41.260674,referred,2026-03-12T14:33:41.260674,0,,referred_or_cancelled_indicator,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352924/motor-vehicles-motor-cycles/2011-toyota-hilux-4x4-sr5-kun26r-turbo-diesel-manual-dual-cab,referred,14100.0,,,,85.0,8h 41m41s,2026-03-12T14:33:54.253029,referred,2026-03-12T14:33:54.253029,0,,referred_or_cancelled_indicator,bids_20260312T142947Z
https://www.grays.com/lot/0001-10352925/motor-vehicles-motor-cycles/2016-land-rover-range-rover-sport-3-0-v6sc-hst-automatic-8-speed-wagon,sold,36750.0,,,,303.0,10 March 2026 20:15 AEDT,2026-03-12T16:34:13.433609,sold_with_final_price,2026-03-12T16:34:13.433609,0,,date_sold_and_bids,bids_20260312T163346Z
https://www.grays.com/lot/0001-10352927/motor-vehicles-motor-cycles/2019-honda-civic-vti-l-10th-gen-cvt-sedan,sold,12400.0,,,,139.0,11 March 2026 20:00 AEDT,2026-03-12T16:34:23.458596,sold_with_final_price,2026-03-12T16:34:23.458596,0,,date_sold_and_bids,bids_20260312T163346Z
https://www.grays.com/lot/0001-10352929/motor-vehicles-motor-cycles/2019-ford-transit-custom-340l-lwb-vn-turbo-diesel-automatic-van,referred,3800.0,,,,88.0,1d 6h 55m52s,2026-03-12T16:34:34.445523,referred,2026-03-12T16:34:34.445523,0,,referred_or_cancelled_indicator,bids_20260312T163346Z
https://www.grays.com/lot/0001-10352932/motor-vehicles-motor-cycles/2009-nissan-elgrand-automatic-8-seats-people-mover,sold,1109.0,,,,18.0,11 March 2026 20:05 AEDT,2026-03-12T16:34:46.083797,sold_with_final_price,2026-03-12T16:34:46.083797,0,,date_sold_and_bids,bids_20260312T163346Z
https://www.grays.com/lot/0001-10352933/motor-vehicles-motor-cycles/2013-great-wall-x200-4x4-turbo-diesel-automatic-wagon,sold,810.0,,,,8.0,10 March 2026 20:15 AEDT,2026-03-12T16:34:59.270969,sold_with_final_price,2026-03-12T16:34:59.270969,0,,date_sold_and_bids,bids_20260312T163346Z
https://www.grays.com/lot/0001-10352934/motor-vehicles-motor-cycles/2019-mg-mg3-core-automatic-hatchback-79-611kms,sold,6000.0,,,,47.0,10 March 2026 20:15 AEDT,2026-03-12T16:35:08.940774,sold_with_final_price,2026-03-12T16:35:08.940774,0,,date_sold_and_bids,bids_20260312T163346Z
https://www.grays.com/lot/0001-10352935/motor-vehicles-motor-cycles/2009-renault-koleos-privilege-cvt-wagon,sold,2409.0,,,,28.0,10 March 2026 20:15 AEDT,2026-03-12T16:35:18.517633,sold_with_final_price,2026-03-12T16:35:18.517633,0,,date_sold_and_bids,bids_20260312T163346Z
https://www.grays.com/lot/0001-10352936/motor-vehicles-motor-cycles/2012-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,sold,3509.0,,,,44.0,10 March 2026 20:15 AEDT,2026-03-12T16:35:28.472883,sold_with_final_price,2026-03-12T16:35:28.472883,0,,date_sold_and_bids,bids_20260312T163346Z
https://www.grays.com/lot/0001-10352937/motor-vehicles-motor-cycles/2010-nissan-micra-ti-k13-manual-hatchback,referred,209.0,,,,3.0,8h 38m50s,2026-03-12T16:35:35.218778,referred,2026-03-12T16:35:35.218778,0,,referred_or_cancelled_indicator,bids_20260312T163346Z
https://www.grays.com/lot/0001-10352938/motor-vehicles-motor-cycles/2014-jeep-cherokee-limited-4x4-kl-9-auto-wagon,sold,2000.0,,,,39.0,10 March 2026 20:15 AEDT,2026-03-12T16:35:47.534535,sold_with_final_price,2026-03-12T16:35:47.534535,0,,date_sold_and_bids,bids_20260312T163346Z
https://www.grays.com/lot/0001-10352939/motor-vehicles-motor-cycles/2008-toyota-kluger-4x2-kx-r-gsu40r-automatic-7-seats-wagon,sold,3200.0,,,,37.0,10 March 2026 20:15 AEDT,2026-03-12T17:04:37.780714,sold_with_final_price,2026-03-12T17:04:37.780714,0,,date_sold_and_bids,bids_20260312T170415Z
https://www.grays.com/lot/0001-10352940/motor-vehicles-motor-cycles/2013-hyundai-veloster-sr-turbo-fs-manual-coupe,sold,4810.0,,,,64.0,10 March 2026 20:15 AEDT,2026-03-12T17:04:47.974010,sold_with_final_price,2026-03-12T17:04:47.974010,0,,date_sold_and_bids,bids_20260312T170415Z
https://www.grays.com/lot/0001-10352941/motor-vehicles-motor-cycles/2010-jeep-patriot-sport-mk-manual-wagon,referred,309.0,,,,4.0,8h 37m24s,2026-03-12T17:04:54.401467,referred,2026-03-12T17:04:54.401467,0,,referred_or_cancelled_indicator,bids_20260312T170415Z
https://www.grays.com/lot/0001-10352942/motor-vehicles-motor-cycles/2009-toyota-rav-4-cv-aca33r-automatic-wagon,referred,1209.0,,,,13.0,8h 37m9s,2026-03-12T17:05:01.160793,referred,2026-03-12T17:05:01.160793,0,,referred_or_cancelled_indicator,bids_20260312T170415Z
