base_curve_tag,make,model,body,fuel,transmission,series,status,priority,notes
toyota_corolla_zre152r_sedan_auto_petrol,toyota,corolla,sedan,petrol,auto,zre152r,live_now,1,Older Corolla sedan
toyota_corolla_zre172r_sedan_auto_petrol,toyota,corolla,sedan,petrol,auto,zre172r,live_now,1,Later Corolla sedan
toyota_corolla_ascent_zre182r_hatch_auto_petrol,toyota,corolla,hatch,petrol,auto,zre182r,live_now,1,Split from grouped zre182r hatch because Ascent and Ascent Sport price differently
toyota_corolla_ascent-sport_zre182r_hatch_auto_petrol,toyota,corolla,hatch,petrol,auto,zre182r,live_now,1,Split from grouped zre182r hatch because Ascent Sport carries a distinct trim premium
toyota_corolla_mzea12r_hatch_auto_petrol,toyota,corolla,hatch,petrol,auto,mzea12r,live_now,1,Newer petrol Corolla hatch
toyota_corolla_zwe211r_hatch_auto_hybrid,toyota,corolla,hatch,hybrid,auto,zwe211r,live_now,1,Hybrid Corolla hatch
toyota_corolla_zwe219r_hatch_auto_hybrid,toyota,corolla,hatch,hybrid,auto,zwe219r,live_now,2,Keep separate for now
toyota_camry_axvh71r_sedan_auto_hybrid,toyota,camry,sedan,hybrid,auto,axvh71r,live_now,1,Core Camry hybrid curve
toyota_yaris_ncp90r_hatch_auto_petrol,toyota,yaris,hatch,petrol,auto,ncp90r,live_now,1,Simple stable Yaris segment
mazda_3_bl_hatch_auto_petrol,mazda,3,hatch,petrol,auto,bl,live_now,1,All BL hatch petrol trims grouped
hyundai_i30_gd_hatch_auto_petrol,hyundai,i30,hatch,petrol,auto,gd,live_now,1,Core i30 GD hatch
hyundai_i30_pd_hatch_auto_petrol,hyundai,i30,hatch,petrol,auto,pd,live_now,1,Core i30 PD hatch
toyota_camry_asv70r_sedan_auto_petrol,toyota,camry,sedan,petrol,auto,asv70r,hold,2,Keep defined but not V1 priority
