match_tag,base_curve_tag,group_status,reason
toyota_corolla_ascent_petrol_auto_sedan_zre152r,toyota_corolla_zre152r_sedan_auto_petrol,active,Direct sedan mapping
toyota_corolla_ascent_petrol_auto_sedan_zre172r,toyota_corolla_zre172r_sedan_auto_petrol,active,Direct sedan mapping
toyota_corolla_ascent_petrol_auto_hatch_zre18x,toyota_corolla_ascent_zre182r_hatch_auto_petrol,active,Map Ascent hatch into its own zre182r base curve
toyota_corolla_ascent-sport_petrol_auto_hatch_zre18x,toyota_corolla_ascent-sport_zre182r_hatch_auto_petrol,active,Map Ascent Sport hatch into its own zre182r base curve
toyota_corolla_ascent-sport_petrol_auto_hatch_mzea12r,toyota_corolla_mzea12r_hatch_auto_petrol,active,Direct mapping
toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r,toyota_corolla_zwe211r_hatch_auto_hybrid,active,Direct hybrid mapping
toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe219r,toyota_corolla_zwe219r_hatch_auto_hybrid,active,Direct hybrid mapping
toyota_camry_ascent_hybrid_auto_sedan_axvh71r,toyota_camry_axvh71r_sedan_auto_hybrid,active,Direct mapping
toyota_camry_ascent-sport_hybrid_auto_sedan_axvh71r,toyota_camry_ascent-sport_axvh71r_sedan_auto_hybrid,active,Direct sport-hybrid mapping
toyota_camry_ascent_petrol_auto_sedan_asv70r,toyota_camry_asv70r_sedan_auto_petrol,active,Direct petrol mapping
toyota_camry_altise_petrol_auto_sedan_asv50r,toyota_camry_asv50r_sedan_auto_petrol,active,Direct Altise petrol mapping
toyota_camry_atara-s_petrol_auto_sedan_asv50r,toyota_camry_atara-s_asv50r_sedan_auto_petrol,active,Direct Camry ASV50R Atara S automatic petrol sedan mapping
toyota_yaris_yr_petrol_auto_hatch_ncp90r,toyota_yaris_ncp90r_hatch_auto_petrol,active,Direct mapping
mazda_3_neo_petrol_auto_hatch_bl,mazda_3_bl_hatch_auto_petrol,active,Merge trim into base Mazda 3 BL curve
mazda_3_neo-sport_petrol_auto_hatch_bl,mazda_3_bl_hatch_auto_petrol,active,Merge trim into base Mazda 3 BL curve
mazda_3_maxx_petrol_auto_hatch_bl,mazda_3_bl_hatch_auto_petrol,active,Merge trim into base Mazda 3 BL curve
mazda_3_maxx-sport_petrol_auto_hatch_bl,mazda_3_bl_hatch_auto_petrol,active,Merge trim into base Mazda 3 BL curve
mazda_3_touring_petrol_auto_hatch_bl,mazda_3_bl_hatch_auto_petrol,active,Merge trim into base Mazda 3 BL curve
mazda_cx5_maxx-sport_diesel_auto_wagon_ke,mazda_cx5_maxx-sport_ke_wagon_auto_diesel,active,Direct Maxx Sport diesel KE-family mapping
hyundai_ix35_se_petrol_auto_wagon_lm,hyundai_ix35_se_lm_wagon_auto_petrol,active,Direct ix35 SE LM petrol mapping
hyundai_ix35_elite_petrol_auto_wagon_lm,hyundai_ix35_elite_lm_wagon_auto_petrol,active,Direct ix35 Elite LM petrol family mapping
hyundai_getz_sx_petrol_auto_hatch_tb,hyundai_getz_sx_tb_hatch_auto_petrol,active,Direct Getz SX TB automatic mapping
hyundai_getz_sx_petrol_manual_hatch_tb,hyundai_getz_sx_tb_hatch_manual_petrol,active,Direct Getz SX TB manual mapping
hyundai_i30_active_petrol_auto_hatch_gd,hyundai_i30_gd_hatch_auto_petrol,active,Map exact Active trim into the i30 GD Active-only base curve
hyundai_i30_active_petrol_auto_hatch_pd,hyundai_i30_pd_hatch_auto_petrol,active,Map exact Active trim into the i30 PD Active-only base curve
hyundai_accent_active_petrol_auto_hatch_rb,hyundai_accent_active_rb_hatch_auto_petrol,active,Direct Accent Active RB automatic hatch petrol mapping
hyundai_iload_tq_van_auto_diesel,hyundai_iload_tq_van_auto_diesel,active,Direct iLoad TQ diesel automatic van mapping
ford_territory_tx-ts_diesel_auto_suv_sz,ford_territory_sz_suv_auto_diesel,active,Direct Territory SZ TX/TS diesel automatic SUV mapping
mitsubishi_pajero_glx_diesel_auto_suv_nt-nw,mitsubishi_pajero_glx_nt-nw_suv_auto_diesel,active,Map Pajero GLX NT/NW diesel automatic SUV into combined GLX NT/NW base curve
mitsubishi_triton_glx_diesel_manual_ute_mn,mitsubishi_triton_glx_mn_ute_manual_diesel,active,Direct Triton GLX MN diesel manual ute mapping
