year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold
2014,FORD,Ranger,XLT 4X4 PX Dual,Dual Cab,Automatic,Diesel,200389,5.0,MNAUMFF50EW320411,E46596,29-09-2026,5,3.2,Gold,Charcoal,Yes,Yes,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9068437/motor-vehicles-motor-cycles/2014-ford-ranger-xlt-4x4-px-turbo-diesel-automatic-dual-cab,"Corrosion visible Various places
Large Scuff on Driver side bumper
Windscreen Chipped or Cracked.
Dents or marks on body consistent with age and kilometres.",182,"$12,600",05 May 2026
2010,MAZDA,2,Neo DE,Hatchback,Automatic,Petrol,174734,5.0,JM0DE10Y1A0154693,1IXU913,01-07-2026,4,1.5,Black,Charcoal,Yes,Yes,No,Partial,Yes,WA,https://www.grays.com/lot/0001-9068436/motor-vehicles-motor-cycles/2010-mazda-2-neo-de-automatic-hatchback,"Engine Smoke visible
Paint fading on various panels
Medium Scuff on Drivers side rear quarter and Rear panel
Dents or marks on body consistent with age and kilometres.",31,"$2,209",05 May 2026
2016,SUBARU,Outback,2.5i B6A,Wagon,CVT,Petrol,139384,5.0,JF2BS9KC2GG044577,No plates,Unregistered,4,2.5,Dark Grey,Multi,Yes,Yes,Yes,Yes,Yes,SA,https://www.grays.com/lot/0001-60050712/motor-vehicles-motor-cycles/2016-subaru-outback-2-5i-b6a-cvt-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.,25,,05 May 2026
2009,FORD,Territory,TX SY II,Wagon,Automatic,Petrol,285979,7.0,6FPAAAJGAT9B47194,No plates,Unregistered,6,4.0,White,Black,Yes,No,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21064165/motor-vehicles-motor-cycles/2009-ford-territory-tx-sy-ii-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Body/panel damage Rear bumper and boot
Corrosion visible, Paint Peeling Around vehicle
Hood Lining Sagging, Driver Seat Torn.
Medium Scratches Around vehicle",9,$809,17 March 2026
2022,MG,Hs,Vibe,Wagon,Automatic,Petrol,80360,5.0,LSJA24U97NN116836,No plates,Unregistered,4,1.5,Blue,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21064123/motor-vehicles-motor-cycles/2022-mg-hs-vibe-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Interior: Tyre pressure low, Exterior: Touch up on mirror,
Interior: Tyre pressure low, Exterior: Touch up on mirror",2,"$11,509",17 March 2026
2003,MITSUBISHI,Outlander,XLS ZE,Wagon,Automatic,Petrol,300616,5.0,JMFXRCU4W3U002291,No plates,Unregistered,4,2.4,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21064121/motor-vehicles-motor-cycles/2003-mitsubishi-outlander-xls-ze-automatic-wagon,"Engine idling rough
Dents or marks on body consistent with age and kilometres.
Rear Cracked bumper.
Medium Scratch on Around vehicle
Engine noise observed.
Engine overheating, tow advisable.",3,$209,17 March 2026
2009,BMW,123d,E88,Convertible,Automatic,Diesel,186282,4.0,WBAUP12010VM54001,XLF651,Unregistered,4,2.0,White,Black Leather,Yes,No,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21064045/motor-vehicles-motor-cycles/2009-bmw-123d-e88-turbo-diesel-automatic-convertible,"Dents or marks on body consistent with age and kilometres.
Body/panel damage Front and rear bumper
Engine noise observed.
Other Warning light ON",12,"$1,109",17 March 2026
2014,VOLKSWAGEN,Jetta,118TSI 1B,Sedan,Automatic,Petrol,107255,5.0,WVWZZZ16ZEM066327,No plates,Unregistered,4,1.4,Grey,Grey,Yes,Yes,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21063914/motor-vehicles-motor-cycles/2014-volkswagen-jetta-118tsi-1b-automatic-sedan,"Engine light ON
Engine idling rough
Medium Scratch on Around vehicle",26,"$2,210",17 March 2026
2014,HYUNDAI,I30,Active GD,Hatchback,Automatic,Petrol,125639,5.0,KMHD251EMEU242810,1DT7HR,02-03-2027,4,1.8,White,Black,Yes,No,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21065635/motor-vehicles-motor-cycles/2014-hyundai-i30-active-gd-automatic-hatchback,"Medium Scratch on Around vehicle
Dents or marks on body consistent with age and kilometres.",92,"$7,450",22 April 2026
2017,TOYOTA,Corolla,Ascent ZRE182R,Hatchback,CVT,Petrol,60572,5.0,JTNKU3JE60J560698,DMH14B,Unregistered,4,1.8,White,Grey,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10500717/motor-vehicles-motor-cycles/2017-toyota-corolla-ascent-zre182r-cvt-hatchback,"Hail damage visible.
Paint peeling Drivers side front guard
Medium Dent on Drivers door
Large Scuff on Passenger Rear Quarter
Large Scratch on Front bumper",146,"$12,345",22 April 2026
