group_id,series,anchor_year,km_anchor,price_low,price_high,price_median,price_per_km_bucket,source,created_at,audit_ts
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4,KUN26R,2006,50000,,,20400,0.4,curve_pipe_import,2026-01-11T22:23:08,2026-01-19T17:18:04
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4,KUN26R,2006,120000,,,20400,0.15,curve_pipe_import,2026-01-11T22:23:08,2026-01-19T17:18:04
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4,KUN26R,2006,200000,,,19200,0.1,curve_pipe_import,2026-01-11T22:23:08,2026-01-19T17:18:04
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4,KUN26R,2006,260000,,,17000,0.05,curve_pipe_import,2026-01-11T22:23:08,2026-01-19T17:18:04
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4,KUN26R,2012,50000,,,33500,0.65,curve_pipe_import,2026-01-11T22:23:08,2026-01-19T17:18:04
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4,KUN26R,2012,120000,,,31400,0.25,curve_pipe_import,2026-01-11T22:23:08,2026-01-19T17:18:04
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4,KUN26R,2012,200000,,,27500,0.15,curve_pipe_import,2026-01-11T22:23:08,2026-01-19T17:18:04
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4,KUN26R,2012,260000,,,24900,0.1,curve_pipe_import,2026-01-11T22:23:08,2026-01-19T17:18:04
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4,GUN126R,2021,50000,,,55100,1.1,curve_pipe_import,2026-01-11T22:23:08,2026-01-19T17:18:04
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4,GUN126R,2021,120000,,,48300,0.4,curve_pipe_import,2026-01-11T22:23:08,2026-01-19T17:18:04
toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4,GUN126R,2021,200000,,,41450,0.2,curve_pipe_import,2026-01-11T22:23:08,2026-01-19T17:18:04
